 Listener      RMSE       RMSE_whisper    AVG_Whisper    AVG_Actual       AVG_Pre       AVG_Match   
 L0200       26.26          27.11          -5.25          69.87          58.57          59.80     
 L0201       30.21          24.70          -5.45          71.19          61.11          62.87     
 L0202       27.47          21.52          -2.92          80.06          72.65          68.15     
 L0206       39.23          26.34         -14.91          71.74          48.61          48.91     
 L0208       27.63          23.19          -3.12          81.99          68.87          68.55     
 L0209       27.04          21.79          -7.00          79.87          63.89          62.54     
 L0212       26.02          25.51          -5.04          73.25          63.51          62.82     
 L0215       23.19          26.72          -4.09          66.86          64.81          58.83     
 L0216       37.61          24.20         -14.76          77.73          57.08          54.25     
 L0217       48.18          25.54         -28.79          67.26          34.08          37.00     
 L0218       20.40          22.34          -4.23          73.17          67.33          64.39     
 L0219       26.36          28.90          -0.54          65.15          67.58          61.30     
 L0220       31.69          20.75          -8.12          80.55          63.80          62.75     
 L0221       30.65          20.74          -8.24          76.89          61.19          60.20     
 L0222       26.38          25.48          -2.96          68.29          65.03          62.42     
 L0224       23.84          29.07          -3.71          67.16          58.41          60.14     
 L0225       27.34          21.81          -4.65          75.06          65.19          62.08     
 L0227       44.21          48.34          -3.93          44.93          69.47          47.17     
 L0229       23.53          24.37          -5.08          66.87          62.73          60.70     
 L0231       31.41          22.70          -6.32          83.80          66.56          64.13     
 L0235       26.46          23.30          -2.19          77.54          71.45          69.50     
 L0236       29.70          25.73         -10.22          71.92          63.19          57.41     
 L0239       27.22          29.42          -9.30          61.03          53.68          52.29     
 L0240       21.51          18.43          -5.32          84.73          71.41          70.96     
 L0241       22.83          26.68          -4.60          64.05          60.68          56.50     
 L0242       29.51          24.09          -7.03          67.86          57.84          55.75     
 L0243       29.24          22.91          -4.99          77.12          64.99          65.12     
