 Listener      RMSE       RMSE_whisper    AVG_Whisper    AVG_Actual       AVG_Pre       AVG_Match   
L0200      26.68          26.56          -9.16          66.13          55.70          55.70     
L0201      28.98          26.17          -8.39          70.40          58.27          60.31     
L0202      33.02          23.53          -7.59          78.32          69.58          63.11     
L0206      22.53          24.27          -3.13          73.14          63.71          62.44     
L0208      27.32          22.65          -3.27          82.78          69.42          69.46     
L0209      27.56          21.90          -6.85          83.78          67.81          65.86     
L0212      27.36          27.17          -7.03          72.56          62.85          60.28     
L0215      27.62          28.09          -4.82          66.62          63.80          57.39     
L0216      32.65          22.21         -11.26          76.06          59.33          57.58     
L0217      30.66          24.47          -9.25          70.64          59.29          59.63     
L0218      22.88          23.71          -7.89          76.25          66.88          63.88     
L0219      29.36          28.38          -2.79          65.79          59.22          57.74     
L0220      28.13          20.38          -6.54          79.95          65.94          64.51     
L0221      25.59          20.31          -2.54          80.69          66.57          67.97     
L0222      28.43          26.01          -5.27          72.94          66.92          63.64     
L0224      25.89          30.28          -3.13          67.93          61.98          61.66     
L0225      26.77          25.10          -3.04          72.64          62.20          60.22     
L0227      40.60          46.59          -5.94          44.07          64.56          45.45     
L0229      25.34          23.44          -4.01          68.51          63.24          61.98     
L0231      31.22          20.96          -6.66          84.21          65.98          64.98     
L0235      28.28          23.41          -3.98          75.91          67.44          66.65     
L0236      29.78          26.41          -9.63          70.54          60.60          57.62     
L0239      25.73          29.66          -9.31          64.34          56.76          54.75     
L0240      22.90          17.23          -5.11          84.08          72.61          71.04     
L0241      24.48          28.06          -4.93          63.67          58.59          56.62     
L0242      28.65          23.03          -6.03          69.35          57.00          58.09     
L0243      26.66          23.55          -5.97          79.89          67.75          67.25     
